흰여울문화마을,바다,문화예술마을,흰여울문화마을,바다풍경,절영해안산책로,,,
깡깡이 예술마을,문화,,,,,,,
국립해양박물관,박물관,국립해양박물관,어린이박물관,,,,,
태종대,지질공원,부산국가지질공원,유네스코세계지질공원,,,,,
죽성성당,바다풍경,기장해안산책로,바다여행,감성사진,,,,
아홉산 숲,아홉산숲산책로,,,,,,,
해동용궁사 ,사찰,바다풍경,해안산책로,지질공원,부산국가지질공원,유네스코세계지질공원,,
임랑해수욕장,바다여행,,,,,,,
문화공감 수정,문화공감수정,힐링,근대문화,,,,,
일광해수욕장,부산바다,바다여행,,,,,,
구 백제병원,문화,,,,,,,
백산기념관,박물관,문화,,,,,,
한성1918 부산생활문화센터,문화공간,부산생활문화센터,,,,,,
조선통신사역사관,박물관,문화,,,,,,
부산해양자연사박물관,공원,금강공원,부산공원,부산해양자연사박물관,산책,힐링,,
부산근대역사관,박물관,부산문화원,,,,,,
보수동책방골목,문화마을,,,,,,,
임시수도기념관,박물관,문화,,,,,,
동아대석당박물관,박물관,동아대박물관,석당박물관,문화재,,,,
국립일제강제동원역사관,박물관,,,,,,,
부산박물관,부산박물관,부산문화재,박물관,,,,,
유엔기념공원,역사문화체험,산책로,유엔기념공원,평화공원,유엔조각공원,,,
오륙도,해안산책로,지질공원,부산국가지질공원,유네스코세계지질공원,,,,
신선대,부산야경,야경출사,,,,,,
송정해수욕장,죽도공원,바다,공원,산책,힐링,바다여행,,
힐튼부산 이터널저니,해안산책로,,,,,,,
스카이워크 시리즈,송도구름산책로,,,,,,,
민락수변공원,민락수변공원,수변공원,밤바다,부산바다,광안리바다,,,
송도해수욕장,산책하기좋은곳,힐링,바다,산책로,암남공원,지질공원,부산국가지질공원,유네스코세계지질공원
아미산전망대,산책,힐링,,,,,,
아미동 비석마을,비석문화마을,산책,감천문화마을,,,,,
부산시립미술관,문화시설,,,,,,,
오랑대공원,바다,기장바다,해안산책로,바다여행,지질공원,부산국가지질공원,유네스코세계지질공원,
국립수산과학관,해안산책로,,,,,,,
요산문학관,문화시설,,,,,,,
박차정의사 생가,문화,,,,,,,
