업체명,카테고리명,필지고유번호,시도명,시군구명,읍면동명,리명,번지,법정동코드,행정동코드,도로명코드,도로명,도로명상세,경도,위도,폐업여부,전화번호,홈페이지주소,주차가능여부,화장실유무,화장실타입,수유실유무,물품보관함유무,유아거치대유무,휠체어이동가능여부,점자유도로유무,등록일자
베스티호텔,숙박/휴양,2.64E+18,부산광역시,강서구,구랑동,,1205-2,2644011300,2644056000,2.64E+11,미음산단로,17,128.8539747,35.12819599,N,051-710-9700,https://bestiehotel.southkrhotel.com/,Y,Y,"공용,내부",N,N,N,N,N,2021-09-23
대저캠핑장,문화관광/명소,2.64E+18,부산광역시,강서구,대저1동,,01월 05일,2644010100,2644051000,,,,128.9910806,35.21594699,N,051-941-0957,https://www.daejeocamping.com/,Y,Y,"구분,외부",N,N,N,N,N,2021-10-07
대저생태공원캠핑장,문화관광/명소,2.64E+18,부산광역시,강서구,대저1동,,01월 05일,2644010100,2644051000,,,,128.9847474,35.20741419,Y,,,,,,,,,,,2021-10-07
공항하숙,숙박/휴양,2.64E+18,부산광역시,강서구,대저2동,,1843-22,2644010200,2644052000,2.64E+11,공항로811번길,60-20,128.9557911,35.18070548,N,,https://airportguesthouse.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-10-07
에어포트호텔,숙박/휴양,2.64E+18,부산광역시,강서구,대저2동,,Apr-48,2644010200,2644052000,2.64E+11,유통단지1로65번길,15,128.9545073,35.16569198,N,051-831-0606,https://hotelairport.modoo.at/,Y,Y,"공용,내부",N,N,N,N,N,2021-08-31
초롱블루펜션,숙박/휴양,2.64E+18,부산광역시,강서구,대항동,,01월 17일,2644012200,2644058000,2.64E+11,가덕해안로1169번길,62-33,128.8344939,35.0153664,N,,https://chorongblue.modoo.at/,Y,Y,"공용,내부",N,N,N,N,N,2021-09-27
썬앤문풀빌라,숙박/휴양,2.64E+18,부산광역시,강서구,대항동,,03월 17일,2644012200,2644058000,2.64E+11,가덕해안로1169번길,96,128.8341854,35.01548277,Y,051-941-5020,,,,,,,,,,2021-10-28
파도소리,숙박/휴양,2.64E+18,부산광역시,강서구,대항동,,09월 03일,2644012200,2644058000,2.64E+11,가덕해안로1169번길,62-47,128.834598,35.01621381,Y,,,,,,,,,,,2021-10-28
하늘과바다,숙박/휴양,2.64E+18,부산광역시,강서구,대항동,,05월 23일,2644012200,2644058000,2.64E+11,가덕해안로1169번길,80,128.8339249,35.01490389,N,051-941-3008,http://naver.me/FS6A3TSC,Y,Y,"공용,내부",N,N,N,N,N,2021-09-27
썬앤문풀빌라,숙박/휴양,2.64E+18,부산광역시,강서구,대항동,,11월 17일,2644012200,2644058000,2.64E+11,가덕해안로1169번길,104,128.834292,35.01541542,Y,051-941-5020,,,,,,,,,,2021-10-28
가덕도새바지펜션,숙박/휴양,2.64E+18,부산광역시,강서구,대항동,,24,2644012200,2644058000,2.64E+11,가덕해안로1169번길,62-22,128.8344362,35.01469828,Y,,,,,,,,,,,2021-09-27
대항체험마을민박,숙박/휴양,2.64E+18,부산광역시,강서구,대항동,,245-1,2644012200,2644058000,2.64E+11,가덕해안로1207번길,09월 02일,128.8276588,35.01166947,N,051-972-2516,http://naver.me/501ikiz0,Y,Y,"공용,내부",N,N,N,N,N,2021-09-27
섬마을장어구이펜션,숙박/휴양,2.64E+18,부산광역시,강서구,대항동,,385,2644012200,2644058000,2.64E+11,가덕해안로1208번길,45,128.8275994,35.01415788,N,051-973-6793,http://naver.me/FbRpfjuz,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
대항펜션,숙박/휴양,2.64E+18,부산광역시,강서구,대항동,,388,2644012200,2644058000,2.64E+11,가덕해안로1212번길,36,128.8274268,35.01373969,N,051-971-9348,http://naver.me/Gfa3k3QS,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
대항민박,숙박/휴양,2.64E+18,부산광역시,강서구,대항동,,274,2644012200,2644058000,2.64E+11,가덕해안로1212번길,20,128.827622,35.01312713,N,051-972-2516,http://naver.me/501ikiz0,Y,Y,"공용,내부",N,N,N,N,N,2021-09-27
W모텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1532-12,2644010400,2644053500,2.64E+11,르노삼성대로,598,128.9289018,35.10080432,N,051-271-1119,http://naver.me/FuVXruN5,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
비엠텔모텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1526-14,2644010400,2644053500,2.64E+11,르노삼성대로,576-2,128.9280046,35.0989412,N,051-271-1511,http://naver.me/xkxaXJGc,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
마틴호텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1532-11,2644010400,2644053500,2.64E+11,르노삼성대로,600,128.9285519,35.10112933,N,051-717-3872,https://mjmartin.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
JK호텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1530-16,2644010400,2644053500,2.64E+11,르노삼성대로,590,128.9285144,35.10020443,N,051-271-2237,http://naver.me/FjoKaQKy,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
모텔 제타,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1279-35,2644010400,2644053500,2.64E+11,르노삼성대로,634,128.9294126,35.10393706,N,051-271-3687,http://naver.me/FdswQbIc,Y,Y,"공용,내부",N,N,N,N,N,2021-10-08
모텔 마르,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1279-3,2644010400,2644053500,2.64E+11,르노삼성대로,634,128.9294125,35.10393697,N,051-271-1907,http://naver.me/xGOrX7rT,N,Y,"공용,내부",N,N,N,N,N,2021-10-08
헤리티지디자인호텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1530-9,2644010400,2644053500,2.64E+11,르노삼성대로,592,128.928637,35.10036501,N,051-271-0467,https://hotelheritage.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
디자인팝 모텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1526-13,2644010400,2644053500,2.64E+11,르노삼성대로,576-4,128.9279906,35.0990703,N,051-271-2001,https://designpop.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-10-08
