업체명,위도,경도,폐업여부
베스티호텔,35.12819599,128.8539747,N
대저캠핑장,35.21594699,128.9910806,N
대저생태공원캠핑장,35.20741419,128.9847474,Y
공항하숙,35.18070548,128.9557911,N
에어포트호텔,35.16569198,128.9545073,N
초롱블루펜션,35.0153664,128.8344939,N
썬앤문풀빌라,35.01548277,128.8341854,Y
파도소리,35.01621381,128.834598,Y
하늘과바다,35.01490389,128.8339249,N
썬앤문풀빌라,35.01541542,128.834292,Y
가덕도새바지펜션,35.01469828,128.8344362,Y
대항체험마을민박,35.01166947,128.8276588,N
섬마을장어구이펜션,35.01415788,128.8275994,N
대항펜션,35.01373969,128.8274268,N
대항민박,35.01312713,128.827622,N
W모텔,35.10080432,128.9289018,N
비엠텔모텔,35.0989412,128.9280046,N
마틴호텔,35.10112933,128.9285519,N
JK호텔,35.10020443,128.9285144,N
모텔 제타,35.10393706,128.9294126,N
모텔 마르,35.10393697,128.9294125,N
헤리티지디자인호텔,35.10036501,128.928637,N
디자인팝 모텔,35.0990703,128.9279906,N
씨사이드모텔,35.09830653,128.9277224,N
비엠텔모텔,35.0989531,128.9280048,N
브라운도트호텔 명지점,35.09919408,128.92803,N
넘버25호텔,35.09402639,128.9081885,N
더포인트호텔,35.09340432,128.908121,N
호텔오유,35.09218239,128.9017599,N
오이아호텔명지,35.093931,128.9001002,N
씨엘오션호텔,35.09073409,128.9020713,N
신라스테이,35.09670494,128.9052621,N
넘버25호텔 명지오션시티점 비즈니스,35.08047764,128.9029945,N
오션시티호텔,35.08091563,128.9029961,N
사이버모텔,35.08268928,128.9042159,N
호텔프렌치코드,35.08361971,128.9042136,N
레전드호텔,35.15964789,128.8639555,N
마글램핑장,35.1535571,128.8790459,Y
베스트루이스해밀턴호텔 서부산점,35.1468498,128.8788042,N
장항펜션,35.05567769,128.8064334,Y
대한상공회의소부산인력개발원,35.09132893,128.8488466,Y
성고개산장,35.11083486,128.8530819,N
벨라지오모텔,35.086613,128.8811579,N
IW모텔,35.08660413,128.8802745,N
호텔더메이,35.08661568,128.8793305,N
2월호텔,35.0866038,128.8789326,N
S모텔,35.08661107,128.878301,N
블랑비즈니스호텔,35.0869795,128.8813332,N
까르페호텔,35.08661741,128.8807388,N
호텔에그,35.0866149,128.8786857,N
2월호텔 강서신관,35.08700356,128.8810578,N
모모까르페호텔,35.08661741,128.8807388,Y
브라운도트호텔,35.08331539,128.8707373,N
더브레인호텔,35.08173773,128.8722958,N
호텔더원,35.08289233,128.8709693,N
V호텔,35.08639646,128.8807192,N
비지니스호텔,35.08639259,128.8811301,N
펀모텔,35.08638903,128.8801047,N
브이모텔,35.08639751,128.8807306,Y
이그니스호텔,35.08637727,128.8793003,N
굿프라임호텔,35.14997988,128.8309512,N
헤르몬호텔,35.15009789,128.8322324,N
투썸게스트하우스앤펜션,35.04294899,128.8096954,Y
우리펜션,35.02566624,128.8163069,Y
어울림쉼터펜션,35.02280798,128.8145275,Y
갈릴리펜션,35.03046001,128.8146009,Y
카리브의일몰,35.03344314,128.8111763,N
우진펜션,35.0315126,128.8123775,N
가덕도그린빌펜션,35.03744273,128.8133261,Y
전원별장,35.03697853,128.8140856,Y
가덕부들펜션,35.03166293,128.8247616,N
로뎀펜션,35.03174159,128.8241144,N
꿈에그린펜션,35.0320609,128.8242522,N
자연애펜션,35.03179172,128.8248,Y
가덕도펜션민박,35.02841583,128.8176455,N
초록펜션,35.02659721,128.8168296,N
노을빛펜션,35.02731297,128.8186208,N
은행나무펜션,35.02668722,128.8167941,N
가덕도힐링민박펜션,35.02727428,128.8162801,N
펜션GALLERY가덕,35.03410714,128.8225881,N
백수장,35.24362832,129.0875086,N
호텔G&G,35.24486672,129.0919301,N
카카오호텔,35.24438044,129.0914817,N
호텔캔들,35.2449448,129.0904558,N
제니스호텔,35.2449823,129.0907235,N
제니스호텔,35.24497552,129.0907183,N
쇼모텔,35.24602969,129.0917448,N
호텔야자,35.24743924,129.0916896,N
9월호텔,35.24787274,129.0916538,Y
보브호텔,35.247583,129.0916855,Y
넘버25호텔,35.24798471,129.0916546,Y
로즈베이호텔,35.24786181,129.0916692,Y
브라운도트 호텔 구서역점,35.24796884,129.0918741,N
티에스호텔,35.25682316,129.0909085,N
호텔프렌치코드,35.24489876,129.0922909,N
호텔시카고,35.25719867,129.0908739,N
