,0,1,2,3
0,흰여울문화마을,35.07885,129.04402,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222164810529_thumbL
1,깡깡이 예술마을,35.092648,129.03255,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222171209005_thumbL
2,국립해양박물관,35.078728,129.08018,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222175627506_thumbL
3,태종대,35.052643,129.0878,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222180829962_thumbL
4,죽성성당,35.241013,129.24864,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222181829937_thumbL
5,아홉산 숲,35.287334,129.17046,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222185645736_thumbL
6,해동용궁사 ,35.188583,129.22346,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222190823385_thumbL
7,임랑해수욕장,35.31905,129.26451,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224093809621_thumbL
8,"문화공감 수정, 초량1941",35.125793,129.04265,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224171115847_thumbL
9,일광해수욕장,35.260025,129.2336,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225143353231_thumbL
10,구 백제병원,35.116383,129.03917,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225145805369_thumbL
11,백산기념관,35.101955,129.03456,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150331107_thumbL
12,한성1918 부산생활문화센터,35.10178,129.03444,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150936833_thumbL
13,조선통신사역사관,35.135754,129.06203,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151358656_thumbL
14,부산해양자연사박물관,35.22178,129.07591,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151830289_thumbL
15,부산근대역사관,35.10266,129.03114,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225152803689_thumbL
16,보수동책방골목,35.103367,129.02663,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225154726785_thumbL
17,임시수도기념관,35.103527,129.01735,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225160342484_thumbL
18,동아대석당박물관,35.10497,129.01926,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225160959194_thumbL
19,"국립일제강제동원역사관(한,영,중간,중번,일)",35.124355,129.09192,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225162953256_thumbL
20,부산박물관,35.12957,129.09451,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225163741459_thumbL
21,"유엔기념공원, 유엔평화기념관",35.1277,129.09775,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225164342360_thumbL
22,오륙도,35.102177,129.12334,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225164921130_thumbL
